ID;APOIO_ISOL_SOCIAL;COMP_FAM_ISOL_SOCIAL;FAIXA_ETARIA;NIVEL_ISOL_SOCIAL;SEXO
339;10;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
340;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
341;6;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
342;8;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
343;10;8;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
344;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
345;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
346;5;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
347;10;5;Unknown;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Unknown
348;9;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
349;10;8;16 a 29 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
350;9;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
351;10;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
352;6;4;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
353;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
354;5;5;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
355;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
356;8;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
357;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
358;5;1;30 a 44 anos;Nao esta fazendo isolamento e nem reduziu o contato social;Feminino
359;10;6;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
360;10;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
361;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
362;10;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
363;10;10;Unknown;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Unknown
364;10;5;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
365;10;3;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
366;10;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
367;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
368;10;9;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
369;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
370;5;10;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
371;10;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
372;10;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
373;10;6;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
374;10;6;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
375;4;7;30 a 44 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Masculino
376;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
377;10;8;45 a 59 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
378;10;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
379;10;10;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
380;7;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
381;9;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
382;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
383;10;10;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
384;10;10;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
385;6;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
386;10;7;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Masculino
387;10;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
388;10;5;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
389;8;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
390;7;7;Unknown;Reduziu o contato social, mas nao esta fazendo o isolamento;Unknown
391;10;8;16 a 29 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
392;8;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
393;9;10;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
394;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
395;7;7;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
396;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
397;5;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
398;10;8;16 a 29 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Masculino
399;10;6;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
400;5;4;30 a 44 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Feminino
401;10;10;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
402;10;10;60 anos ou mais;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
403;10;10;60 anos ou mais;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
404;10;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
405;10;6;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
406;5;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
407;10;8;16 a 29 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
408;9;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
409;9;4;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
410;5;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
411;8;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
412;10;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
413;10;6;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
414;10;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
415;8;9;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
416;5;10;60 anos ou mais;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
417;7;6;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
418;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
419;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
420;8;8;30 a 44 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Feminino
421;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
422;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
423;9;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
424;3;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
425;9;7;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
426;4;3;60 anos ou mais;Reduziu o contato social, mas nao esta fazendo o isolamento;Feminino
427;10;8;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
428;5;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
429;10;8;30 a 44 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Masculino
430;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
431;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
432;10;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
433;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
434;6;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
435;5;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
436;8;0;Unknown;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Unknown
437;0;1;45 a 59 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Feminino
438;10;7;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
439;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
440;9;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
441;10;10;60 anos ou mais;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
442;8;6;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
443;0;10;30 a 44 anos;Nao esta fazendo isolamento e nem reduziu o contato social;Masculino
444;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
445;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
446;4;5;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
447;10;0;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
448;10;10;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
449;10;9;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
450;7;5;16 a 29 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Feminino
451;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
452;8;8;30 a 44 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
453;10;7;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
454;10;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
455;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
456;10;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
457;7;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
458;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
459;10;10;Unknown;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Unknown
460;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
461;4;8;45 a 59 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Feminino
462;10;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
463;8;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
464;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
465;10;7;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
466;10;6;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
467;5;6;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
468;5;5;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
469;8;6;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
470;10;5;16 a 29 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Feminino
471;5;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
472;10;9;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
473;8;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
474;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
475;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
476;5;7;30 a 44 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Masculino
477;10;8;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
478;10;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
479;10;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
480;9;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
481;3;2;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
482;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
483;10;9;30 a 44 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
484;10;10;Unknown;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Unknown
485;7;9;Unknown;Reduziu o contato social, mas nao esta fazendo o isolamento;Unknown
486;8;10;Unknown;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Unknown
487;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
488;10;8;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
489;8;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
490;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
491;5;10;Unknown;Reduziu o contato social, mas nao esta fazendo o isolamento;Unknown
492;10;9;Unknown;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Unknown
493;4;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
494;10;10;Unknown;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Unknown
495;5;8;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
496;10;9;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
497;10;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
498;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
499;9;5;Unknown;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Unknown
500;9;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
501;5;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
502;5;10;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
503;1;5;30 a 44 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Feminino
504;9;;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
505;10;10;16 a 29 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Masculino
506;7;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
507;1;8;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
508;0;0;45 a 59 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
509;2;5;45 a 59 anos;Reduziu o contato social, mas nao esta fazendo o isolamento;Masculino
510;10;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
511;7;7;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
512;3;10;30 a 44 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
513;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
514;2;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
515;10;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
516;10;10;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
517;10;10;45 a 59 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
518;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
519;10;6;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
520;5;8;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
521;5;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
522;5;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
523;10;7;30 a 44 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
524;9;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
525;10;8;30 a 44 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
526;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
527;10;10;16 a 29 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
528;7;8;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
529;10;7;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
530;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
531;10;9;16 a 29 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
532;10;8;45 a 59 anos;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Feminino
533;10;7;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
534;8;4;30 a 44 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
535;9;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
536;10;8;30 a 44 anos;Nao esta no isolamento porque sua atividade ‚ essencial (M‚dicos, Pol¡cia, Trabalhadores de Supermercado, Farmacias, Outros);Feminino
537;7;9;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
538;10;10;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
539;10;9;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
540;10;10;60 anos ou mais;Esta fazendo o isolamento irrestrito e nao sai de casa para nada;Masculino
541;5;6;30 a 44 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
542;10;10;60 anos ou mais;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Masculino
543;10;10;45 a 59 anos;Esta fazendo o isolamento com rigor, mas precisa sair para as atividades essenciais, como supermercado, farmacia, bancos e outros;Feminino
